"PassengerId","Survived","Ticket","Fare","Cabin","Embarked"
151,0,"S.O.P. 1166",12.525,,"S"
152,1,"113776",66.6,"C2","S"
153,0,"A.5. 11206",8.05,,"S"
154,0,"A/5. 851",14.5,,"S"
155,0,"Fa 265302",7.3125,,"S"
156,0,"PC 17597",61.3792,,"C"
157,1,"35851",7.7333,,"Q"
158,0,"SOTON/OQ 392090",8.05,,"S"
159,0,"315037",8.6625,,"S"
160,0,"CA. 2343",69.55,,"S"
161,0,"371362",16.1,,"S"
162,1,"C.A. 33595",15.75,,"S"
163,0,"347068",7.775,,"S"
164,0,"315093",8.6625,,"S"
165,0,"3101295",39.6875,,"S"
166,1,"363291",20.525,,"S"
167,1,"113505",55.0,"E33","S"
168,0,"347088",27.9,,"S"
169,0,"PC 17318",25.925,,"S"
170,0,"1601",56.4958,,"S"
172,0,"382652",29.125,,"Q"
173,1,"347742",11.1333,,"S"
174,0,"STON/O 2. 3101280",7.925,,"S"
175,0,"17764",30.6958,"A7","C"
176,0,"350404",7.8542,,"S"
177,0,"4133",25.4667,,"S"
178,0,"PC 17595",28.7125,"C49","C"
179,0,"250653",13.0,,"S"
180,0,"LINE",0.0,,"S"
181,0,"CA. 2343",69.55,,"S"
182,0,"SC/PARIS 2131",15.05,,"C"
183,0,"347077",31.3875,,"S"
184,1,"230136",39.0,"F4","S"
185,1,"315153",22.025,,"S"
186,0,"113767",50.0,"A32","S"
187,1,"370365",15.5,,"Q"
188,1,"111428",26.55,,"S"
189,0,"364849",15.5,,"Q"
190,0,"349247",7.8958,,"S"
191,1,"234604",13.0,,"S"
192,0,"28424",13.0,,"S"
193,1,"350046",7.8542,,"S"
194,1,"230080",26.0,"F2","S"
195,1,"PC 17610",27.7208,"B4","C"
196,1,"PC 17569",146.5208,"B80","C"
197,0,"368703",7.75,,"Q"
198,0,"4579",8.4042,,"S"
199,1,"370370",7.75,,"Q"
200,0,"248747",13.0,,"S"
201,0,"345770",9.5,,"S"
202,0,"CA. 2343",69.55,,"S"
204,0,"2628",7.225,,"C"
205,1,"A/5 3540",8.05,,"S"
206,0,"347054",10.4625,"G6","S"
207,0,"3101278",15.85,,"S"
208,1,"2699",18.7875,,"C"
209,1,"367231",7.75,,"Q"
210,1,"112277",31.0,"A31","C"
211,0,"SOTON/O.Q. 3101311",7.05,,"S"
212,1,"F.C.C. 13528",21.0,,"S"
213,0,"A/5 21174",7.25,,"S"
214,0,"250646",13.0,,"S"
215,0,"367229",7.75,,"Q"
216,1,"35273",113.275,"D36","C"
218,0,"243847",27.0,,"S"
219,1,"11813",76.2917,"D15","C"
220,0,"W/C 14208",10.5,,"S"
221,1,"SOTON/OQ 392089",8.05,,"S"
222,0,"220367",13.0,,"S"
223,0,"21440",8.05,,"S"
224,0,"349234",7.8958,,"S"
225,1,"19943",90.0,"C93","S"
226,0,"PP 4348",9.35,,"S"
227,1,"SW/PP 751",10.5,,"S"
228,0,"A/5 21173",7.25,,"S"
229,0,"236171",13.0,,"S"
230,0,"4133",25.4667,,"S"
231,1,"36973",83.475,"C83","S"
232,0,"347067",7.775,,"S"
233,0,"237442",13.5,,"S"
235,0,"C.A. 29566",10.5,,"S"
236,0,"W./C. 6609",7.55,,"S"
237,0,"26707",26.0,,"S"
238,1,"C.A. 31921",26.25,,"S"
239,0,"28665",10.5,,"S"
240,0,"SCO/W 1585",12.275,,"S"
241,0,"2665",14.4542,,"C"
242,1,"367230",15.5,,"Q"
243,0,"W./C. 14263",10.5,,"S"
244,0,"STON/O 2. 3101275",7.125,,"S"
245,0,"2694",7.225,,"C"
246,0,"19928",90.0,"C78","Q"
247,0,"347071",7.775,,"S"
248,1,"250649",14.5,,"S"
249,1,"11751",52.5542,"D35","S"
250,0,"244252",26.0,,"S"
251,0,"362316",7.25,,"S"
252,0,"347054",10.4625,"G6","S"
253,0,"113514",26.55,"C87","S"
254,0,"A/5. 3336",16.1,,"S"
255,0,"370129",20.2125,,"S"
256,1,"2650",15.2458,,"C"
257,1,"PC 17585",79.2,,"C"
258,1,"110152",86.5,"B77","S"
259,1,"PC 17755",512.3292,,"C"
260,1,"230433",26.0,,"S"
262,1,"347077",31.3875,,"S"
263,0,"110413",79.65,"E67","S"
264,0,"112059",0.0,"B94","S"
266,0,"C.A. 17248",10.5,,"S"
267,0,"3101295",39.6875,,"S"
268,1,"347083",7.775,,"S"
269,1,"PC 17582",153.4625,"C125","S"
270,1,"PC 17760",135.6333,"C99","S"
271,0,"113798",31.0,,"S"
272,1,"LINE",0.0,,"S"
273,1,"250644",19.5,,"S"
274,0,"PC 17596",29.7,"C118","C"
275,1,"370375",7.75,,"Q"
276,1,"13502",77.9583,"D7","S"
277,0,"347073",7.75,,"S"
278,0,"239853",0.0,,"S"
279,0,"382652",29.125,,"Q"
280,1,"C.A. 2673",20.25,,"S"
281,0,"336439",7.75,,"Q"
282,0,"347464",7.8542,,"S"
283,0,"345778",9.5,,"S"
284,1,"A/5. 10482",8.05,,"S"
285,0,"113056",26.0,"A19","S"
286,0,"349239",8.6625,,"C"
287,1,"345774",9.5,,"S"
288,0,"349206",7.8958,,"S"
289,1,"237798",13.0,,"S"
290,1,"370373",7.75,,"Q"
291,1,"19877",78.85,,"S"
292,1,"11967",91.0792,"B49","C"
293,0,"SC/Paris 2163",12.875,"D","C"
294,0,"349236",8.85,,"S"
295,0,"349233",7.8958,,"S"
296,0,"PC 17612",27.7208,,"C"
297,0,"2693",7.2292,,"C"
299,1,"19988",30.5,"C106","S"
300,1,"PC 17558",247.5208,"B58 B60","C"
301,1,"9234",7.75,,"Q"
302,1,"367226",23.25,,"Q"
303,0,"LINE",0.0,,"S"
304,1,"226593",12.35,"E101","Q"
305,0,"A/5 2466",8.05,,"S"
306,1,"113781",151.55,"C22 C26","S"
307,1,"17421",110.8833,,"C"
308,1,"PC 17758",108.9,"C65","C"
309,0,"P/PP 3381",24.0,,"C"
310,1,"PC 17485",56.9292,"E36","C"
312,1,"PC 17608",262.375,"B57 B59 B63 B66","C"
313,0,"250651",26.0,,"S"
314,0,"349243",7.8958,,"S"
315,0,"F.C.C. 13529",26.25,,"S"
316,1,"347470",7.8542,,"S"
317,1,"244367",26.0,,"S"
318,0,"29011",14.0,,"S"
319,1,"36928",164.8667,"C7","S"
320,1,"16966",134.5,"E34","C"
321,0,"A/5 21172",7.25,,"S"
322,0,"349219",7.8958,,"S"
323,1,"234818",12.35,,"Q"
324,1,"248738",29.0,,"S"
325,0,"CA. 2343",69.55,,"S"
326,1,"PC 17760",135.6333,"C32","C"
327,0,"345364",6.2375,,"S"
328,1,"28551",13.0,"D","S"
329,1,"363291",20.525,,"S"
330,1,"111361",57.9792,"B18","C"
331,1,"367226",23.25,,"Q"
332,0,"113043",28.5,"C124","S"
333,0,"PC 17582",153.4625,"C91","S"
334,0,"345764",18.0,,"S"
335,1,"PC 17611",133.65,,"S"
336,0,"349225",7.8958,,"S"
337,0,"113776",66.6,"C2","S"
339,1,"7598",8.05,,"S"
340,0,"113784",35.5,"T","S"
341,1,"230080",26.0,"F2","S"
342,1,"19950",263.0,"C23 C25 C27","S"
343,0,"248740",13.0,,"S"
344,0,"244361",13.0,,"S"
345,0,"229236",13.0,,"S"
346,1,"248733",13.0,"F33","S"
347,1,"31418",13.0,,"S"
348,1,"386525",16.1,,"S"
349,1,"C.A. 37671",15.9,,"S"
350,0,"315088",8.6625,,"S"
351,0,"7267",9.225,,"S"
352,0,"113510",35.0,"C128","S"
353,0,"2695",7.2292,,"C"
355,0,"2647",7.225,,"C"
356,0,"345783",9.5,,"S"
357,1,"113505",55.0,"E33","S"
358,0,"237671",13.0,,"S"
360,1,"330980",7.8792,,"Q"
361,0,"347088",27.9,,"S"
362,0,"SC/PARIS 2167",27.7208,,"C"
364,0,"SOTON/O.Q. 3101310",7.05,,"S"
365,0,"370365",15.5,,"Q"
366,0,"C 7076",7.25,,"S"
367,1,"110813",75.25,"D37","C"
368,1,"2626",7.2292,,"C"
369,1,"14313",7.75,,"Q"
370,1,"PC 17477",69.3,"B35","C"
371,1,"11765",55.4417,"E50","C"
372,0,"3101267",6.4958,,"S"
373,0,"323951",8.05,,"S"
374,0,"PC 17760",135.6333,,"C"
375,0,"349909",21.075,,"S"
376,1,"PC 17604",82.1708,,"C"
378,0,"113503",211.5,"C82","C"
379,0,"2648",4.0125,,"C"
380,0,"347069",7.775,,"S"
381,1,"PC 17757",227.525,,"C"
382,1,"2653",15.7417,,"C"
383,0,"STON/O 2. 3101293",7.925,,"S"
384,1,"113789",52.0,,"S"
386,0,"S.O.C. 14879",73.5,,"S"
387,0,"CA 2144",46.9,,"S"
388,1,"27849",13.0,,"S"
389,0,"367655",7.7292,,"Q"
390,1,"SC 1748",12.0,,"C"
391,1,"113760",120.0,"B96 B98","S"
392,1,"350034",7.7958,,"S"
393,0,"3101277",7.925,,"S"
394,1,"35273",113.275,"D36","C"
395,1,"PP 9549",16.7,"G6","S"
396,0,"350052",7.7958,,"S"
397,0,"350407",7.8542,,"S"
398,0,"28403",26.0,,"S"
399,0,"244278",10.5,,"S"
400,1,"240929",12.65,,"S"
401,1,"STON/O 2. 3101289",7.925,,"S"
403,0,"4137",9.825,,"S"
404,0,"STON/O2. 3101279",15.85,,"S"
405,0,"315096",8.6625,,"S"
406,0,"28664",21.0,,"S"
407,0,"347064",7.75,,"S"
408,1,"29106",18.75,,"S"
409,0,"312992",7.775,,"S"
410,0,"4133",25.4667,,"S"
412,0,"394140",6.8583,,"Q"
413,1,"19928",90.0,"C78","Q"
415,1,"STON/O 2. 3101269",7.925,,"S"
416,0,"343095",8.05,,"S"
417,1,"28220",32.5,,"S"
419,0,"28228",13.0,,"S"
420,0,"345773",24.15,,"S"
421,0,"349254",7.8958,,"C"
422,0,"A/5. 13032",7.7333,,"Q"
423,0,"315082",7.875,,"S"
425,0,"370129",20.2125,,"S"
426,0,"A/4. 34244",7.25,,"S"
427,1,"2003",26.0,,"S"
428,1,"250655",26.0,,"S"
429,0,"364851",7.75,,"Q"
430,1,"SOTON/O.Q. 392078",8.05,"E10","S"
431,1,"110564",26.55,"C52","S"
433,1,"SC/AH 3085",26.0,,"S"
434,0,"STON/O 2. 3101274",7.125,,"S"
435,0,"13507",55.9,"E44","S"
436,1,"113760",120.0,"B96 B98","S"
437,0,"W./C. 6608",34.375,,"S"
438,1,"29106",18.75,,"S"
439,0,"19950",263.0,"C23 C25 C27","S"
440,0,"C.A. 18723",10.5,,"S"
441,1,"F.C.C. 13529",26.25,,"S"
442,0,"345769",9.5,,"S"
443,0,"347076",7.775,,"S"
444,1,"230434",13.0,,"S"
445,1,"65306",8.1125,,"S"
446,1,"33638",81.8583,"A34","S"
447,1,"250644",19.5,,"S"
448,1,"113794",26.55,,"S"
449,1,"2666",19.2583,,"C"
450,1,"113786",30.5,"C104","S"
451,0,"C.A. 34651",27.75,,"S"
452,0,"65303",19.9667,,"S"
453,0,"113051",27.75,"C111","C"
454,1,"17453",89.1042,"C92","C"
455,0,"A/5 2817",8.05,,"S"
456,1,"349240",7.8958,,"C"
458,1,"17464",51.8625,"D21","S"
459,1,"F.C.C. 13531",10.5,,"S"
460,0,"371060",7.75,,"Q"
461,1,"19952",26.55,"E12","S"
462,0,"364506",8.05,,"S"
463,0,"111320",38.5,"E63","S"
464,0,"234360",13.0,,"S"
465,0,"A/S 2816",8.05,,"S"
466,0,"SOTON/O.Q. 3101306",7.05,,"S"
467,0,"239853",0.0,,"S"
468,0,"113792",26.55,,"S"
469,0,"36209",7.725,,"Q"
470,1,"2666",19.2583,,"C"
472,0,"315089",8.6625,,"S"
473,1,"C.A. 34651",27.75,,"S"
474,1,"SC/AH Basle 541",13.7917,"D","C"
475,0,"7553",9.8375,,"S"
476,0,"110465",52.0,"A14","S"
477,0,"31027",21.0,,"S"
478,0,"3460",7.0458,,"S"
480,1,"3101298",12.2875,,"S"
481,0,"CA 2144",46.9,,"S"
482,0,"239854",0.0,,"S"
483,0,"A/5 3594",8.05,,"S"
484,1,"4134",9.5875,,"S"
485,1,"11967",91.0792,"B49","C"
486,0,"4133",25.4667,,"S"
487,1,"19943",90.0,"C93","S"
488,0,"11771",29.7,"B37","C"
489,0,"A.5. 18509",8.05,,"S"
490,1,"C.A. 37671",15.9,,"S"
491,0,"65304",19.9667,,"S"
492,0,"SOTON/OQ 3101317",7.25,,"S"
494,0,"PC 17609",49.5042,,"C"
495,0,"A/4 45380",8.05,,"S"
496,0,"2627",14.4583,,"C"
497,1,"36947",78.2667,"D20","C"
498,0,"C.A. 6212",15.1,,"S"
499,0,"113781",151.55,"C22 C26","S"
500,0,"350035",7.7958,,"S"
501,0,"315086",8.6625,,"S"
502,0,"364846",7.75,,"Q"
503,0,"330909",7.6292,,"Q"
504,0,"4135",9.5875,,"S"
505,1,"110152",86.5,"B79","S"
506,0,"PC 17758",108.9,"C65","C"
507,1,"26360",26.0,,"S"
508,1,"111427",26.55,,"S"
509,0,"C 4001",22.525,,"S"
510,1,"1601",56.4958,,"S"
511,1,"382651",7.75,,"Q"
512,0,"SOTON/OQ 3101316",8.05,,"S"
513,1,"PC 17473",26.2875,"E25","S"
514,1,"PC 17603",59.4,,"C"
516,0,"36967",34.0208,"D46","S"
517,1,"C.A. 34260",10.5,"F33","S"
518,0,"371110",24.15,,"Q"
519,1,"226875",26.0,,"S"
520,0,"349242",7.8958,,"S"
521,1,"12749",93.5,"B73","S"
522,0,"349252",7.8958,,"S"
523,0,"2624",7.225,,"C"
524,1,"111361",57.9792,"B18","C"
525,0,"2700",7.2292,,"C"
526,0,"367232",7.75,,"Q"
527,1,"W./C. 14258",10.5,,"S"
528,0,"PC 17483",221.7792,"C95","S"
529,0,"3101296",7.925,,"S"
531,1,"26360",26.0,,"S"
532,0,"2641",7.2292,,"C"
533,0,"2690",7.2292,,"C"
534,1,"2668",22.3583,,"C"
535,0,"315084",8.6625,,"S"
536,1,"F.C.C. 13529",26.25,,"S"
537,0,"113050",26.55,"B38","S"
538,1,"PC 17761",106.425,,"C"
539,0,"364498",14.5,,"S"
540,1,"13568",49.5,"B39","C"
541,1,"WE/P 5735",71.0,"B22","S"
542,0,"347082",31.275,,"S"
543,0,"347082",31.275,,"S"
544,1,"2908",26.0,,"S"
545,0,"PC 17761",106.425,"C86","C"
546,0,"693",26.0,,"S"
547,1,"2908",26.0,,"S"
548,1,"SC/PARIS 2146",13.8625,,"C"
549,0,"363291",20.525,,"S"
550,1,"C.A. 33112",36.75,,"S"
551,1,"17421",110.8833,"C70","C"
552,0,"244358",26.0,,"S"
553,0,"330979",7.8292,,"Q"
554,1,"2620",7.225,,"C"
555,1,"347085",7.775,,"S"
556,0,"113807",26.55,,"S"
557,1,"11755",39.6,"A16","C"
558,0,"PC 17757",227.525,,"C"
559,1,"110413",79.65,"E67","S"
561,0,"372622",7.75,,"Q"
562,0,"349251",7.8958,,"S"
563,0,"218629",13.5,,"S"
564,0,"SOTON/OQ 392082",8.05,,"S"
565,0,"SOTON/O.Q. 392087",8.05,,"S"
566,0,"A/4 48871",24.15,,"S"
569,0,"2686",7.2292,,"C"
570,1,"350417",7.8542,,"S"
571,1,"S.W./PP 752",10.5,,"S"
572,1,"11769",51.4792,"C101","S"
573,1,"PC 17474",26.3875,"E25","S"
574,1,"14312",7.75,,"Q"
575,0,"A/4. 20589",8.05,,"S"
576,0,"358585",14.5,,"S"
577,1,"243880",13.0,,"S"
578,1,"13507",55.9,"E44","S"
579,0,"2689",14.4583,,"C"
580,1,"STON/O 2. 3101286",7.925,,"S"
581,1,"237789",30.0,,"S"
582,1,"17421",110.8833,"C68","C"
583,0,"28403",26.0,,"S"
584,0,"13049",40.125,"A10","C"
585,0,"3411",8.7125,,"C"
586,1,"110413",79.65,"E68","S"
587,0,"237565",15.0,,"S"
588,1,"13567",79.2,"B41","C"
589,0,"14973",8.05,,"S"
590,0,"A./5. 3235",8.05,,"S"
591,0,"STON/O 2. 3101273",7.125,,"S"
592,1,"36947",78.2667,"D20","C"
593,0,"A/5 3902",7.25,,"S"
594,0,"364848",7.75,,"Q"
595,0,"SC/AH 29037",26.0,,"S"
596,0,"345773",24.15,,"S"
597,1,"248727",33.0,,"S"
598,0,"LINE",0.0,,"S"
599,0,"2664",7.225,,"C"
600,1,"PC 17485",56.9292,"A20","C"
602,0,"349214",7.8958,,"S"
603,0,"113796",42.4,,"S"
604,0,"364511",8.05,,"S"
605,1,"111426",26.55,,"C"
606,0,"349910",15.55,,"S"
607,0,"349246",7.8958,,"S"
608,1,"113804",30.5,,"S"
609,1,"SC/Paris 2123",41.5792,,"C"
610,1,"PC 17582",153.4625,"C125","S"
611,0,"347082",31.275,,"S"
612,0,"SOTON/O.Q. 3101305",7.05,,"S"
613,1,"367230",15.5,,"Q"
614,0,"370377",7.75,,"Q"
615,0,"364512",8.05,,"S"
616,1,"220845",65.0,,"S"
617,0,"347080",14.4,,"S"
618,0,"A/5. 3336",16.1,,"S"
619,1,"230136",39.0,"F4","S"
620,0,"31028",10.5,,"S"
621,0,"2659",14.4542,,"C"
622,1,"11753",52.5542,"D19","S"
623,1,"2653",15.7417,,"C"
624,0,"350029",7.8542,,"S"
625,0,"54636",16.1,,"S"
626,0,"36963",32.3208,"D50","S"
627,0,"219533",12.35,,"Q"
628,1,"13502",77.9583,"D9","S"
629,0,"349224",7.8958,,"S"
632,0,"347743",7.0542,,"S"
633,1,"13214",30.5,"B50","C"
634,0,"112052",0.0,,"S"
635,0,"347088",27.9,,"S"
636,1,"237668",13.0,,"S"
637,0,"STON/O 2. 3101292",7.925,,"S"
638,0,"C.A. 31921",26.25,,"S"
639,0,"3101295",39.6875,,"S"
640,0,"376564",16.1,,"S"
641,0,"350050",7.8542,,"S"
642,1,"PC 17477",69.3,"B35","C"
643,0,"347088",27.9,,"S"
644,1,"1601",56.4958,,"S"
645,1,"2666",19.2583,,"C"
646,1,"PC 17572",76.7292,"D33","C"
647,0,"349231",7.8958,,"S"
648,1,"13213",35.5,"A26","C"
649,0,"S.O./P.P. 751",7.55,,"S"
650,1,"CA. 2314",7.55,,"S"
651,0,"349221",7.8958,,"S"
652,1,"231919",23.0,,"S"
653,0,"8475",8.4333,,"S"
654,1,"330919",7.8292,,"Q"
655,0,"365226",6.75,,"Q"
656,0,"S.O.C. 14879",73.5,,"S"
657,0,"349223",7.8958,,"S"
658,0,"364849",15.5,,"Q"
659,0,"29751",13.0,,"S"
660,0,"35273",113.275,"D48","C"
661,1,"PC 17611",133.65,,"S"
662,0,"2623",7.225,,"C"
663,0,"5727",25.5875,"E58","S"
665,1,"STON/O 2. 3101285",7.925,,"S"
666,0,"S.O.C. 14879",73.5,,"S"
667,0,"234686",13.0,,"S"
668,0,"312993",7.775,,"S"
669,0,"A/5 3536",8.05,,"S"
670,1,"19996",52.0,"C126","S"
671,1,"29750",39.0,,"S"
672,0,"F.C. 12750",52.0,"B71","S"
673,0,"C.A. 24580",10.5,,"S"
674,1,"244270",13.0,,"S"
675,0,"239856",0.0,,"S"
676,0,"349912",7.775,,"S"
677,0,"342826",8.05,,"S"
678,1,"4138",9.8417,,"S"
679,0,"CA 2144",46.9,,"S"
680,1,"PC 17755",512.3292,"B51 B53 B55","C"
681,0,"330935",8.1375,,"Q"
682,1,"PC 17572",76.7292,"D49","C"
683,0,"6563",9.225,,"S"
684,0,"CA 2144",46.9,,"S"
685,0,"29750",39.0,,"S"
686,0,"SC/Paris 2123",41.5792,,"C"
687,0,"3101295",39.6875,,"S"
688,0,"349228",10.1708,,"S"
689,0,"350036",7.7958,,"S"
690,1,"24160",211.3375,"B5","S"
691,1,"17474",57.0,"B20","S"
692,1,"349256",13.4167,,"C"
693,1,"1601",56.4958,,"S"
694,0,"2672",7.225,,"C"
695,0,"113800",26.55,,"S"
696,0,"248731",13.5,,"S"
697,0,"363592",8.05,,"S"
698,1,"35852",7.7333,,"Q"
699,0,"17421",110.8833,"C68","C"
700,0,"348121",7.65,"F G63","S"
701,1,"PC 17757",227.525,"C62 C64","C"
702,1,"PC 17475",26.2875,"E24","S"
704,0,"36864",7.7417,,"Q"
705,0,"350025",7.8542,,"S"
706,0,"250655",26.0,,"S"
707,1,"223596",13.5,,"S"
708,1,"PC 17476",26.2875,"E24","S"
709,1,"113781",151.55,,"S"
710,1,"2661",15.2458,,"C"
711,1,"PC 17482",49.5042,"C90","C"
712,0,"113028",26.55,"C124","S"
713,1,"19996",52.0,"C126","S"
714,0,"7545",9.4833,,"S"
715,0,"250647",13.0,,"S"
716,0,"348124",7.65,"F G73","S"
717,1,"PC 17757",227.525,"C45","C"
718,1,"34218",10.5,"E101","S"
719,0,"36568",15.5,,"Q"
720,0,"347062",7.775,,"S"
721,1,"248727",33.0,,"S"
722,0,"350048",7.0542,,"S"
723,0,"12233",13.0,,"S"
724,0,"250643",13.0,,"S"
725,1,"113806",53.1,"E8","S"
726,0,"315094",8.6625,,"S"
727,1,"31027",21.0,,"S"
728,1,"36866",7.7375,,"Q"
729,0,"236853",26.0,,"S"
730,0,"STON/O2. 3101271",7.925,,"S"
731,1,"24160",211.3375,"B5","S"
732,0,"2699",18.7875,,"C"
733,0,"239855",0.0,,"S"
734,0,"28425",13.0,,"S"
735,0,"233639",13.0,,"S"
736,0,"54636",16.1,,"S"
737,0,"W./C. 6608",34.375,,"S"
738,1,"PC 17755",512.3292,"B101","C"
739,0,"349201",7.8958,,"S"
740,0,"349218",7.8958,,"S"
741,1,"16988",30.0,"D45","S"
742,0,"19877",78.85,"C46","S"
743,1,"PC 17608",262.375,"B57 B59 B63 B66","C"
744,0,"376566",16.1,,"S"
745,1,"STON/O 2. 3101288",7.925,,"S"
746,0,"WE/P 5735",71.0,"B22","S"
747,0,"C.A. 2673",20.25,,"S"
748,1,"250648",13.0,,"S"
749,0,"113773",53.1,"D30","S"
750,0,"335097",7.75,,"Q"
751,1,"29103",23.0,,"S"
752,1,"392096",12.475,"E121","S"
753,0,"345780",9.5,,"S"
754,0,"349204",7.8958,,"S"
755,1,"220845",65.0,,"S"
757,0,"350042",7.7958,,"S"
758,0,"29108",11.5,,"S"
759,0,"363294",8.05,,"S"
